sample_id,date,sentence_id,text,model_p_uncertainty,human_label
0,2020-12-16,113,"We, we met recently with a bunch of homebuilders, and many of them in the business 30, 40 years said they've never seen the likes of it.",0.61555016040802,0
1,2015-12-16,52,"If we saw in a meaningful way that inflation expectations were either moving up in a way that made it-them seem unanchored or down, that would be of concern.",0.956027626991272,0
2,2025-12-10,112,"And you've got to say then, ""So what do we expect from tariffs?""",0.9929881691932680,1
3,2016-03-16,93,So they are not at low levels.,0.4892594814300540,0
4,2021-11-03,107,That's a decision for the Committee.,0.8224031925201420,1
5,2024-07-31,150,"You, you really do now see the restriction, whereas, I mean, even a few months ago, people were questioning how restrictive policy was.",0.5992506146430970,0
6,2023-09-20,266,"Would that play a role in, in our future decisions-in a-in a future tight- in a future loosening cycle about whether we would cut rates?",0.9945731163024900,1
7,2021-04-28,36,"Same thing with these small businesses, many of which are the work of generations.",0.7833262085914610,1
8,2022-07-27,263,"I mean, the way this works is we, we set our policy, and financial conditions react, and then financial conditions are what affects the economy.",0.6269239187240600,1
9,2014-12-17,184,-about housing.,0.7276853322982790,1
10,2023-12-13,216,They haven't got anyplace to put it.,0.9793781042099000,1
11,2023-02-01,200,"So I don't think there's, you know, going to be a light switch flipped or anything like that.",0.2313753217458730,0
12,2025-06-18,345,"We don't rule things in or out-certainly, a hike is not the base case at all.",0.9879810810089110,1
13,2025-07-30,154,Right?,0.688258945941925,1
14,2023-06-14,77,"And that's really, if you think about it-that's what's driving it.",0.5404387712478640,0
15,2023-12-13,85,We'll do the things that we think are right for the economy at the time we-when we think is the right time.,0.8901272416114810,1
16,2025-07-30,139,"And you-so you saw it famously in the-in the-in the first Administration of President Trump, during those tariffs.",0.5931380391120910,1
17,2021-04-28,45,"And also, it's going to be a different economy.",0.9558991193771360,1
18,2014-09-17,92,"So, in a sense, that is a policy that we have had.",0.5717665553092960,0
19,2020-09-16,297,"And we do a significant amount of research on racial disparities in-across multiple variables, including wealth, as you asked about.",0.6761924028396610,1
20,2024-07-31,234,No.,0.6006569862365720,0
21,2019-12-11,142,"We've put now in place policies that we think are appropriate to address those things, so we're not revisiting that.",0.0525946170091629,1
22,2021-01-27,48,It's been expectations about vaccines.,0.500244140625,0
23,2022-11-02,178,Sure.,0.4078049957752230,0
24,2022-07-27,127,"So those are-those are the toughest rules in place, you know, at any comparable institution that I'm aware of.",0.16013464331626900,0
25,2022-12-14,137,"Right now that-if you put into-if you factor in productivity estimates, standard productivity estimates, wages are running, you know, well above what would be consistent with 2 percent inflation.",0.832236647605896,0
26,2022-03-16,305,"So, you know, so the question is-the right question is, did you make the right decisions based on what you knew at the time?",0.9655683040618900,1
27,2021-09-22,1,So the test for beginning our taper is that we've achieved substantial further progress toward our goals of [2 percent] inflation and maximum employment.,0.5387102365493770,0
28,2015-12-16,160,My guess is that the economy will progress in a manner that is not sufficiently even that we will decide to make evenly spaced hikes.,0.9960315227508550,1
29,2020-12-16,111,"There's also a sense that this-some of this may be pent-up demand from when the economy was closed, which would imply that demand-once that demand is met, that the real level of demand will be more manageable.",0.9408984780311580,1
30,2021-03-17,221,"I'm just saying, that, that is what fiscal policy can do that, really, monetary policy can't do-is, is invest in the future productive capacity of the economy, raise potential growth.",0.4916999638080600,0
31,2022-09-21,76,By now we would have thought that we'd have seen some of that.,0.5874698162078860,1
32,2025-05-07,21,"And we've had basically decent readings in housing services and nonhousing services, which is a big part of it.",0.4926762878894810,0
33,2025-10-29,102,We don't see that.,0.9112587571144100,1
34,2020-09-16,245,"Certainly, we're not out of ammo.",0.43206340074539200,0
35,2019-10-30,176,"The first thing to know is to understand that, that-and we've called that out, as you, I'm sure, know, in one of our recent Monetary Policy Reports to Congress.",0.10052487999200800,0
36,2018-12-19,29,And we're going to be watching carefully to see as those things develop.,0.8687154650688170,1
37,2021-03-17,268,"And, again, you know, the, the state of the economy in two or three years is highly uncertain.",0.9903149604797360,1
38,2021-12-15,182,is the question.,0.9841737151145940,1
39,2023-02-01,24,"The ratio, I guess, is back up to 1.9 job openings to unemployed people, people who are looking for work.",0.6658452749252320,1
40,2020-11-05,122,So I don't really have a specific hypothetical I would-I would put to you.,0.9540303945541380,1
41,2020-06-10,1,"If we didn't think that, of course, we would change our policy now.",0.9508692026138310,0
42,2025-01-29,281,That's what we said.,0.09960150718688970,0
43,2022-07-27,33,"So there's probably some additional tightening, significant additional tightening, in the pipeline.",0.9000915288925170,1
44,2021-04-28,203,"And, of course, we have open capital accounts, which is essential if you're going to be the reserve currency.",0.46368709206581100,0
45,2020-07-29,344,"It's-it's not, it's not-what it's doing is, it's allowing them to grow their balance sheet in a way that serves their customers.",0.5808276534080510,0
46,2023-11-01,220,"That's a-that's a prescription for misery, and, and so we're really committed to not letting that happen.",0.1712343394756320,0
47,2020-01-29,105,"And I would-people are pointing to, and we would point to, supportive financial conditions, the easing of trade tensions, the lower odds of a hard Brexit.",0.8210194706916810,0
48,2014-03-19,133,"In fact, with the productivity growth we have and 2 percent inflation, one would probably expect to see, on an ongoing basis, something between-perhaps 3 and 4 percent wage inflation would be normal.",0.8557305932044980,1
49,2018-09-26,73,"And the economy, as I mentioned at the beginning, is strong, and there's good reason to expect that to continue.",0.3702253997325900,0
50,2019-09-18,17,"So we're going to be looking carefully, meeting by meeting, at the full range of information, and we're going to assess the appropriate stance of policy as we go.",0.9850428700447080,1
51,2017-03-15,138,That's not to say that it's a-good labor market conditions for every individual in the United States.,0.7316341996192930,0
52,2024-11-07,126,"So we look at all of them, right?",0.7431680560112,1
53,2015-12-16,167,"There are various idiosyncratic factors that affect core inflation-for example, nonmarket price increases, which are a little bit hard to understand, have been running at a slow pace.",0.9523530602455140,1
54,2023-03-22,84,So-but that will be up to him.,0.9668123722076420,1
55,2020-01-29,204,"And they stopped operating smoothly, briefly, back in September.",0.6742649674415590,0
56,2025-12-10,72,It's a close call.,0.9531988501548770,1
57,2020-07-29,146,"And, you know, I think we can't say it enough.",0.4695202708244320,0
58,2021-01-27,68,"There's also the possibility-indeed, it's in some forecasts-that as the economy fully reopens, there'll be a burst of spending, and-because people will be enthusiastic that the pandemic is over, potentially, and that that could also create some upward pressure on inflation.",0.9945730566978460,1
59,2021-01-27,323,"And that's very much something that skews to higher-income, higher-educated people being able to work from home and others not so much.",0.45834869146347000,0
60,2024-01-31,26,We're not looking for a weaker labor market.,0.1290181577205660,0
61,2018-09-26,184,"So we-you know, we put a tremendous focus on that.",0.2102794051170350,0
62,2019-01-30,65,"And I would say this: We think about a broad range of financial conditions, not just one or two things.",0.7451203465461730,1
63,2022-05-04,7,"Job creation has been, you know, more than half a million per month in recent months-very, very strong, particularly for this stage of the economy.",0.5751108527183530,0
64,2021-11-03,2,"So the focus at this meeting is on tapering asset purchases, not on raising rates.",0.37079477310180700,0
65,2019-09-18,117,But I was making the point that there is a piece of this that we really can't address.,0.9632564783096310,1
66,2018-03-21,205,You should get paid for your productivity plus inflation.,0.19698064029216800,0
67,2023-05-03,199,"I-by the way, I don't want to-I do not think that wages are the principal driver of inflation.",0.8002240657806400,1
68,2024-11-07,187,We could talk about 20 different data series.,0.527073085308075,1
69,2016-03-16,21,I see some of that as having to do with unusually high inflation readings in categories that tend to be quite volatile without very much significance for inflation over time.,0.96720951795578,0
70,2019-06-19,136,"But I'll just say, again, that the heart of the conference was the two panels on-with practitioners in low and moderate income-who live in low- and moderate-income communities and are part of those communities.",0.7676898837089540,0
71,2019-03-20,26,I don't think they're the main factor.,0.745583713054657,1
72,2018-09-26,27,"It would look very different, I think, if we didn't raise rates.",0.9476965665817260,1
73,2021-12-15,327,"Or, you know, it has been the opposite, where we have very high inflation and we've had it since the labor market was in terrible shape.",0.9507321715354920,0
74,2016-06-15,0,"Well, Brexit, the upcoming U.K. decision on whether or not to leave the European Union, is something we discussed, and I think it's fair to say that it was one of the factors that factored into today's decisions-clearly this is a very important decision for the United Kingdom and for Europe.",0.9803938269615170,1
75,2025-09-17,275,It's really the risks that we're seeing to the labor market that were the focus of today's decision.,0.763042688369751,0
76,2023-12-13,259,"You know, we still have-you know that we intend to reduce our securities holdings until we judge that the quantity of reserve balances has reached a level somewhat above that consistent with ample reserves, and we also intend to slow and then stop the decline in size of the balance sheet when reserve balances are somewhat above the level judged to be consistent with ample reserves.",0.0967484563589096,0
77,2023-07-26,162,I'm not giving you any numerical guidance around that.,0.9890077710151670,1
78,2016-06-15,125,"So, we usually make money-we've been making a lot of money in recent years, but the goal of monetary policy is not to maximize our income.",0.547947883605957,0
79,2023-05-03,218,"I mean, we look at a combination of data and, and forecasts.",0.7579736113548280,1
80,2025-06-18,157,"If we can, and we will, restore price stability, meaning 2 percent inflation on a durable, sustainable basis-that and also maximum employment-and if we, we restore those things, that's the best thing.",0.9069008231163030,1
81,2020-07-29,177,"But I have to say, you know, we're-our job is not to plan for the upside case, right?",0.9470392465591430,0
82,2024-05-01,145,"And, in addition, I would say most forecasters, including our forecasting, was that last year's level of growth was very high-3.4 percent in, I guess, the fourth quarter, you know- and probably not going to be sustained and would come down.",0.8288002610206600,0
83,2021-03-17,194,"If you want to-if you want to-you know, people will have a range of, of assessments for how good the economy is going to be.",0.8154346346855160,1
84,2017-09-20,0,So let me first say that employment is a very important part of our mandate.,0.1932615339756010,0
85,2022-01-26,298,"And we have-we have a recovery that looks completely unlike other recoveries that we've had, because we've, we've put so much support behind the recovery.",0.60905921459198,0
86,2025-10-29,169,"And as I mentioned, some of that is different forecasts, but a lot of it is also different risk aversions to the two different variables, which is common through, through all federal reserves, they're-people just have different risk tolerances, let's say.",0.9707155823707580,0
87,2018-12-19,106,I don't believe that policy is restrictive.,0.45084288716316200,0
88,2021-11-03,218,"But, you know, we are prepared for different eventualities, and we will use our tools to achieve price stability and maximum employment.",0.8573207855224610,1
89,2023-05-03,121,"So I, I-you know, we really-you know, we have to balance.",0.9237127900123600,1
90,2022-03-16,171,Thank you for asking.,0.7676898241043090,0
91,2020-01-29,222,It's the covered funds part.,0.44975510239601100,0
92,2022-09-21,32,"There is a possibility, certainly, that we would go to a certain level that we're confident in and stay there for a time.",0.7680380344390870,1
93,2025-07-30,52,"So I'll just say that, you know, we, we haven't made any decisions about September.",0.9969662427902220,1
94,2016-06-15,89,We've certainly taken note of it.,0.33676716685295100,0
95,2025-03-19,122,We're either tightening or loosening.,0.7699894905090330,1
96,2021-04-28,320,"So that's really something for Congress and the Administration to, to deal with.",0.9895816445350650,1
97,2020-12-16,266,"So if prices went up 6 percent this year, they'd go up 6 percent next year, because people would internalize.",0.5477060079574590,0
98,2024-06-12,30,It's actually just their forecast and their-it's a combination of their forecast and their own reaction function.,0.7201715111732480,1
99,2019-10-30,14,"If something happens to cause us to materially reassess that outlook, that's what would cause us to change our views on the appropriate stance of policy.",0.9962491989135740,1
